DESCRIPTION,CODE
7TH DAY ADVENTIST REFORM MOVEMENT,1
ALLIANCE,2
ALLIANCE OF BIBLE CHRISTIAN COMMUNITIES OF THE PHILIPPINES (ABCCOP),3
ANG DATING DAAN (MEMBERS CHURCH OF GOD INTERNATIONAL),4
ANGELICUM GARDEN OF ANGELS,5
ANITISM (INDIGENOUS FOLK RELIGIONS),6
ANTIOCH CHRISTIAN CHURCH,7
APOSTOLIC CATHOLIC CHURCH,8
APOSTOLIC CHURCH OF JESUS CHRIST,9
ASSEMBLIES OF GOD (AG),10
ASSEMBLY OF THE FIRSTBORN,11
ASSOCIATION OF FUNDAMENTAL BAPTIST CHURCHES IN THE PHILIPPINES,12
BAHÁ?Í FAITH,13
BALIK-ISLAM (MUSLIM REVERTS),14
BAPTIST BIBLE CHURCH,15
BEREAN BIBLE BAPTIST CHURCH,16
BETHANY CHRISTIAN CHURCH,17
BIBLE BAPTIST CHURCH,18
BRAHMA KUMARIS,19
BUDDHISM (MAHAYANA),20
BUDDHISM (THERAVADA),21
BUDDHISM (ZEN),22
CALVARY CHAPEL,23
CAPITOL CITY BAPTIST CHURCH,24
CATHOLIC CHARISMATIC RENEWAL (EL SHADDAI),25
CHINESE FOLK RELIGION,26
CHRISTIAN AND MISSIONARY ALLIANCE CHURCHES OF THE PHILIPPINES (CAMACOP),27
CHRISTIAN BIBLE BAPTIST CHURCH,28
CHRISTIAN REFORMED CHURCH,29
CHURCH OF CHRIST (CHURCHES OF CHRIST),30
"CHURCH OF GOD (CLEVELAND, TENNESSEE)",31
CHURCH OF GOD WORLD MISSIONS,32
CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS (MORMONS),33
CHURCH OF SCIENTOLOGY,34
CHURCH OF THE FOURSQUARE GOSPEL IN THE PHILIPPINES,35
CHURCH OF THE NAZARENE,36
COMMUNITY OF CHRIST,37
CONSERVATIVE BAPTIST ASSOCIATION OF THE PHILIPPINES,38
CONVENTION OF PHILIPPINE BAPTIST CHURCHES,39
DAY BY DAY CHRISTIAN MINISTRIES,40
DOANE BAPTIST CHURCH,41
ECUMENICAL CHURCH FOUNDATION,42
EPISCOPAL CHURCH IN THE PHILIPPINES,43
EVANGELICAL CHRISTIAN,44
EVERY NATION CHURCHES,45
FAITH BAPTIST CHURCH,46
FAITH TABERNACLE CHURCH,47
FIRST BAPTIST CHURCH,48
FREE METHODIST CHURCH,49
FULL GOSPEL CHURCH,50
GOOD NEWS CHRISTIAN CHURCH,51
GRACE BAPTIST CHURCH,52
GRACE COMMUNION INTERNATIONAL,53
GRACE GOSPEL CHURCH,54
HINDUISM,55
IEMELIF (IGLESIA EVANGELICA METODISTA EN LAS ISLAS FILIPINAS),56
IGLESIA EVANGELICA UNIDA DE CRISTO,57
IGLESIA FILIPINA INDEPENDIENTE (AGLIPAYAN),58
IGLESIA NI CRISTO (INC),59
INDEPENDENT BAPTIST CHURCH,60
INDEPENDENT PENTECOSTAL,61
INDIGENOUS/TRIBAL RELIGIONS (ANIMISM),62
INTERNATIONAL ONE WAY OUTREACH,63
ISLAM (SHIA),64
ISLAM (SUNNI),65
JEHOVAH'S WITNESSES,66
JESUS IS LORD CHURCH WORLDWIDE (JIL),67
JESUS MIRACLE CRUSADE,68
KINGDOM OF JESUS CHRIST (THE NAME ABOVE EVERY NAME),69
LORD'S FLOCK CATHOLIC CHARISMATIC MINISTRY,70
LUTHERAN CHURCH IN THE PHILIPPINES,71
MARANATHA CHRISTIAN FELLOWSHIP,72
MESSIANIC JUDAISM,73
METROPOLITAN COMMUNITY CHURCH,74
MISSIONARY BAPTIST CHURCH,75
NONE (ATHEIST/AGNOSTIC),76
ORTHODOX CHURCH (ANTIOCHIAN),77
ORTHODOX CHURCH (GREEK),78
PENTECOSTAL MISSIONARY CHURCH OF CHRIST (4TH WATCH),79
PHILIPPINE BAPTIST CONFERENCE,80
PHILIPPINE BENEVOLENT MISSIONARIES ASSOCIATION (PBMA),81
PHILIPPINE COUNCIL OF EVANGELICAL CHURCHES (PCEC),82
PHILIPPINE EVANGELICAL HOLINESS CHURCH,83
PRESBYTERIAN CHURCH OF THE PHILIPPINES,84
PROTESTANT (GENERAL),85
REDEEMER CHRISTIAN CHURCH,86
ROMAN CATHOLIC,87
SALVATION ARMY,88
SANTUARIO DE SAN JOSE,89
SCHOENSTATT MOVEMENT,90
SEVENTH-DAY ADVENTIST CHURCH,91
SIKHISM,92
SOCIETY OF JESUS (JESUITS),93
THE ROCK CHURCH,94
TRADITIONAL LATIN MASS COMMUNITIES,95
UNIDA (IGLESIA UNIDA DE CRISTO),96
UNITARIAN UNIVERSALIST CHURCH,97
UNITED CHURCH OF CHRIST IN THE PHILIPPINES (UCCP),98
UNITED METHODIST CHURCH (UMC),99
VICTORY CHRISTIAN FELLOWSHIP,100
WORLD MISSION SOCIETY CHURCH OF GOD,101
ZION CHRISTIAN LIGHTHOUSES,102
